,Home,Home_Score,Away,Away_Score,Datetime,Stadium,Region,Temperature,Total_Score,Expected_Total_Score,Actually-Expected
179,삼성,4,두산,0,2022-05-14 17:00:00,대구,대구,21.8,4,9.034722222222221,-5.034722222222221
180,KT,0,키움,3,2022-05-14 17:00:00,수원,수원,15.6,3,8.694444444444445,-5.694444444444445
181,한화,5,롯데,8,2022-05-14 17:00:00,대전,대전,18.3,13,8.118055555555555,4.881944444444445
182,LG,6,KIA,3,2022-05-15 14:00:00,잠실,서울,21.9,9,9.965277777777779,-0.9652777777777786
183,SSG,7,NC,8,2022-05-15 14:00:00,문학,인천,18.1,15,9.48611111111111,5.513888888888889
184,삼성,4,두산,3,2022-05-15 14:00:00,대구,대구,22.5,7,9.034722222222221,-2.0347222222222214
185,KT,1,키움,5,2022-05-15 14:00:00,수원,수원,19.9,6,8.694444444444445,-2.6944444444444446
186,한화,8,롯데,4,2022-05-15 14:00:00,대전,대전,22.0,12,8.118055555555555,3.8819444444444446
187,두산,9,SSG,9,2022-05-17 18:30:00,잠실,서울,20.9,18,9.430555555555555,8.569444444444445
188,롯데,3,KIA,4,2022-05-17 18:30:00,사직,부산,17.4,7,9.20138888888889,-2.2013888888888893
189,NC,4,키움,11,2022-05-17 18:30:00,창원,창원,18.5,15,8.79861111111111,6.201388888888889
190,KT,3,LG,2,2022-05-17 18:30:00,수원,수원,20.5,5,9.347222222222221,-4.347222222222221
191,한화,4,삼성,3,2022-05-17 18:30:00,대전,대전,21.6,7,8.520833333333334,-1.520833333333334
192,두산,2,SSG,5,2022-05-18 18:30:00,잠실,서울,21.5,7,9.430555555555555,-2.4305555555555554
193,롯데,7,KIA,15,2022-05-18 18:30:00,사직,부산,19.0,22,9.20138888888889,12.79861111111111
194,NC,15,키움,3,2022-05-18 18:30:00,창원,창원,19.5,18,8.79861111111111,9.20138888888889
195,KT,1,LG,9,2022-05-18 18:30:00,수원,수원,21.7,10,9.347222222222221,0.6527777777777786
196,한화,3,삼성,5,2022-05-18 18:30:00,대전,대전,22.8,8,8.520833333333334,-0.5208333333333339
197,두산,3,SSG,9,2022-05-19 18:30:00,잠실,서울,19.2,12,9.430555555555555,2.5694444444444446
198,롯데,2,KIA,4,2022-05-19 18:30:00,사직,부산,18.1,6,9.20138888888889,-3.2013888888888893
199,NC,1,키움,3,2022-05-19 18:30:00,창원,창원,18.2,4,8.79861111111111,-4.798611111111111
200,KT,3,LG,7,2022-05-19 18:30:00,수원,수원,20.0,10,9.347222222222221,0.6527777777777786
201,한화,1,삼성,2,2022-05-19 18:30:00,대전,대전,20.4,3,8.520833333333334,-5.520833333333334
202,두산,0,롯데,4,2022-05-20 18:30:00,잠실,서울,21.1,4,8.631944444444445,-4.631944444444445
203,SSG,5,LG,4,2022-05-20 18:30:00,문학,인천,18.1,9,9.965277777777779,-0.9652777777777786
204,삼성,1,KT,5,2022-05-20 18:30:00,대구,대구,25.5,6,8.98611111111111,-2.9861111111111107
205,KIA,5,NC,3,2022-05-20 18:30:00,광주,광주,19.3,8,9.48611111111111,-1.4861111111111107
206,키움,4,한화,3,2022-05-20 18:30:00,고척,서울,21.1,7,8.229166666666666,-1.229166666666666
207,두산,12,롯데,4,2022-05-21 14:00:00,잠실,서울,25.5,16,8.631944444444445,7.368055555555555
208,SSG,3,LG,4,2022-05-21 17:00:00,문학,인천,17.7,7,9.965277777777779,-2.9652777777777786
209,삼성,2,KT,5,2022-05-21 17:00:00,대구,대구,28.0,7,8.98611111111111,-1.9861111111111107
210,KIA,4,NC,7,2022-05-21 17:00:00,광주,광주,24.8,11,9.48611111111111,1.5138888888888893
211,키움,11,한화,2,2022-05-21 17:00:00,고척,서울,23.0,13,8.229166666666666,4.770833333333334
212,두산,4,롯데,5,2022-05-22 14:00:00,잠실,서울,25.7,9,8.631944444444445,0.36805555555555536
213,SSG,3,LG,1,2022-05-22 14:00:00,문학,인천,20.2,4,9.965277777777779,-5.965277777777779
214,삼성,4,KT,3,2022-05-22 14:00:00,대구,대구,31.8,7,8.98611111111111,-1.9861111111111107
215,KIA,8,NC,6,2022-05-22 14:00:00,광주,광주,29.5,14,9.48611111111111,4.513888888888889
216,키움,5,한화,6,2022-05-22 14:00:00,고척,서울,25.7,11,8.229166666666666,2.770833333333334
217,LG,4,키움,6,2022-05-24 18:30:00,잠실,서울,23.3,10,9.277777777777779,0.7222222222222214
218,SSG,3,롯데,2,2022-05-24 18:30:00,문학,인천,19.9,5,9.20138888888889,-4.201388888888889
219,삼성,3,KIA,4,2022-05-24 18:30:00,대구,대구,27.0,7,9.604166666666668,-2.604166666666668
220,NC,3,KT,2,2022-05-24 18:30:00,창원,창원,21.5,5,8.868055555555555,-3.8680555555555554
221,한화,6,두산,3,2022-05-24 18:30:00,대전,대전,24.3,9,8.347222222222221,0.6527777777777786
222,LG,5,키움,10,2022-05-25 18:30:00,잠실,서울,19.8,15,9.277777777777779,5.722222222222221
223,SSG,9,롯데,1,2022-05-25 18:30:00,문학,인천,17.2,10,9.20138888888889,0.7986111111111107
224,삼성,5,KIA,11,2022-05-25 18:30:00,대구,대구,25.7,16,9.604166666666668,6.395833333333332
225,NC,2,KT,3,2022-05-25 18:30:00,창원,창원,21.1,5,8.868055555555555,-3.8680555555555554
226,한화,14,두산,1,2022-05-25 18:30:00,대전,대전,21.7,15,8.347222222222221,6.652777777777779
227,LG,5,키움,12,2022-05-26 18:30:00,잠실,서울,18.8,17,9.277777777777779,7.722222222222221
228,SSG,6,롯데,5,2022-05-26 18:30:00,문학,인천,16.5,11,9.20138888888889,1.7986111111111107
229,삼성,7,KIA,9,2022-05-26 18:30:00,대구,대구,24.2,16,9.604166666666668,6.395833333333332
230,NC,1,KT,2,2022-05-26 18:30:00,창원,창원,20.3,3,8.868055555555555,-5.868055555555555
231,한화,3,두산,24,2022-05-26 18:30:00,대전,대전,20.0,27,8.347222222222221,18.65277777777778
232,LG,5,삼성,0,2022-05-27 18:30:00,잠실,서울,20.2,5,9.569444444444445,-4.569444444444445
233,롯데,0,키움,8,2022-05-27 18:30:00,사직,부산,23.4,8,8.51388888888889,-0.5138888888888893
234,NC,1,두산,6,2022-05-27 18:30:00,창원,창원,25.7,7,8.916666666666666,-1.916666666666666
235,KT,0,한화,4,2022-05-27 18:30:00,수원,수원,18.6,4,8.29861111111111,-4.298611111111111
236,KIA,1,SSG,8,2022-05-27 18:30:00,광주,광주,21.4,9,10.0,-1.0
237,롯데,3,키움,6,2022-05-28 14:00:00,사직,부산,23.1,9,8.51388888888889,0.4861111111111107
238,KIA,9,SSG,3,2022-05-28 14:00:00,광주,광주,29.1,12,10.0,2.0
239,LG,9,삼성,4,2022-05-28 17:00:00,잠실,서울,26.4,13,9.569444444444445,3.4305555555555554
240,NC,5,두산,0,2022-05-28 17:00:00,창원,창원,24.2,5,8.916666666666666,-3.916666666666666
241,KT,8,한화,9,2022-05-28 17:00:00,수원,수원,26.3,17,8.29861111111111,8.70138888888889
242,LG,4,삼성,8,2022-05-29 14:00:00,잠실,서울,28.0,12,9.569444444444445,2.4305555555555554
243,롯데,0,키움,4,2022-05-29 14:00:00,사직,부산,26.1,4,8.51388888888889,-4.513888888888889
244,NC,0,두산,1,2022-05-29 14:00:00,창원,창원,28.0,1,8.916666666666666,-7.916666666666666
245,KT,4,한화,12,2022-05-29 14:00:00,수원,수원,28.0,16,8.29861111111111,7.701388888888889
246,KIA,7,SSG,9,2022-05-29 14:00:00,광주,광주,27.9,16,10.0,6.0
247,두산,10,KIA,13,2022-05-31 18:30:00,잠실,서울,21.6,23,9.430555555555555,13.569444444444445
248,SSG,1,KT,2,2022-05-31 18:30:00,문학,인천,18.8,3,9.381944444444445,-6.381944444444445
249,롯데,7,LG,5,2022-05-31 18:30:00,사직,부산,21.0,12,9.166666666666668,2.833333333333332
250,키움,3,삼성,2,2022-05-31 18:30:00,고척,서울,21.6,5,8.916666666666668,-3.916666666666668
251,한화,5,NC,10,2022-05-31 18:30:00,대전,대전,22.5,15,8.402777777777777,6.597222222222223
