,Home,Home_Score,Away,Away_Score,Datetime,Stadium
414,NC,7,두산,11,2022-07-12 18:30:00,창원
415,KT,4,삼성,3,2022-07-12 18:30:00,수원
416,롯데,2,한화,0,2022-07-13 18:30:00,사직
417,NC,4,두산,1,2022-07-13 18:30:00,창원
418,LG,6,KIA,2,2022-07-14 18:30:00,잠실
419,SSG,4,키움,1,2022-07-14 18:30:00,문학
420,롯데,10,한화,7,2022-07-14 18:30:00,사직
421,NC,3,두산,11,2022-07-14 18:30:00,창원
422,KT,1,삼성,0,2022-07-14 18:30:00,수원
423,두산,0,SSG,1,2022-07-22 18:30:00,잠실
424,롯데,2,KIA,5,2022-07-22 18:30:00,사직
425,NC,5,LG,4,2022-07-22 18:30:00,창원
426,키움,3,삼성,2,2022-07-22 18:30:00,고척
427,한화,8,KT,0,2022-07-22 18:30:00,대전
428,키움,6,삼성,0,2022-07-23 14:00:00,고척
429,롯데,3,KIA,9,2022-07-23 18:00:00,사직
430,NC,5,LG,11,2022-07-23 18:00:00,창원
431,한화,3,KT,5,2022-07-23 18:00:00,대전
432,키움,0,삼성,8,2022-07-24 14:00:00,고척
433,두산,4,SSG,5,2022-07-24 17:00:00,잠실
434,롯데,0,KIA,23,2022-07-24 17:00:00,사직
435,NC,6,LG,1,2022-07-24 17:00:00,창원
436,한화,1,KT,3,2022-07-24 17:00:00,대전
437,두산,6,롯데,1,2022-07-26 18:30:00,잠실
438,SSG,0,LG,9,2022-07-26 18:30:00,문학
439,KT,7,키움,8,2022-07-26 18:30:00,수원
440,KIA,1,NC,9,2022-07-26 18:30:00,광주
441,삼성,2,한화,4,2022-07-26 18:30:00,포항
442,두산,6,롯데,5,2022-07-27 18:30:00,잠실
443,SSG,6,LG,3,2022-07-27 18:30:00,문학
444,KT,5,키움,4,2022-07-27 18:30:00,수원
445,KIA,9,NC,5,2022-07-27 18:30:00,광주
446,삼성,11,한화,10,2022-07-27 18:30:00,포항
447,두산,8,롯데,5,2022-07-28 18:30:00,잠실
448,SSG,5,LG,4,2022-07-28 18:30:00,문학
449,KT,8,키움,2,2022-07-28 18:30:00,수원
450,KIA,2,NC,6,2022-07-28 18:30:00,광주
451,삼성,3,한화,3,2022-07-28 18:30:00,포항
452,LG,4,KT,5,2022-07-29 18:30:00,잠실
453,삼성,8,롯데,7,2022-07-29 18:30:00,대구
454,NC,5,키움,3,2022-07-29 18:30:00,창원
455,KIA,11,SSG,2,2022-07-29 18:30:00,광주
456,한화,3,두산,7,2022-07-29 18:30:00,대전
457,LG,8,KT,7,2022-07-30 18:00:00,잠실
458,삼성,8,롯데,9,2022-07-30 18:00:00,대구
459,NC,3,키움,3,2022-07-30 18:00:00,창원
460,KIA,5,SSG,7,2022-07-30 18:00:00,광주
461,한화,11,두산,1,2022-07-30 18:00:00,대전
462,삼성,5,롯데,5,2022-07-31 17:00:00,대구
463,KIA,2,SSG,3,2022-07-31 17:00:00,광주
464,롯데,4,LG,3,2022-08-02 18:30:00,사직
465,키움,5,SSG,7,2022-08-02 18:30:00,고척
466,한화,5,KIA,4,2022-08-02 18:30:00,대전
467,두산,3,삼성,1,2022-08-03 18:30:00,잠실
468,롯데,1,LG,4,2022-08-03 18:30:00,사직
469,NC,2,KT,15,2022-08-03 18:30:00,창원
470,키움,3,SSG,2,2022-08-03 18:30:00,고척
471,한화,3,KIA,6,2022-08-03 18:30:00,대전
472,두산,2,삼성,9,2022-08-04 18:30:00,잠실
473,롯데,2,LG,12,2022-08-04 18:30:00,사직
474,NC,4,KT,3,2022-08-04 18:30:00,창원
475,키움,5,SSG,6,2022-08-04 18:30:00,고척
476,한화,4,KIA,1,2022-08-04 18:30:00,대전
